timestamp,event,details,image_path
2025-11-13T13:25:59.497933,alarm,Fire (heuristic),detections\alarm_20251113_132559_485186.jpg
2025-11-13T13:25:59.507159,record_start,Fire (heuristic),detections\clip_20251113_132559.mp4
2025-11-13T13:25:59.710400,alarm,Fire (heuristic),detections\alarm_20251113_132559_702202.jpg
2025-11-13T13:25:59.889044,alarm,Fire (heuristic),detections\alarm_20251113_132559_880733.jpg
2025-11-13T13:26:00.124818,alarm,Fire (heuristic),detections\alarm_20251113_132600_115346.jpg
2025-11-13T13:26:00.302487,alarm,Fire (heuristic),detections\alarm_20251113_132600_293491.jpg
2025-11-13T13:26:00.483530,alarm,Fire (heuristic),detections\alarm_20251113_132600_475306.jpg
2025-11-13T13:26:00.681379,alarm,Fire (heuristic),detections\alarm_20251113_132600_672266.jpg
2025-11-13T13:26:00.905426,alarm,Fire (heuristic),detections\alarm_20251113_132600_899262.jpg
2025-11-13T13:26:01.163687,alarm,Fire (heuristic),detections\alarm_20251113_132601_155159.jpg
2025-11-13T13:26:01.375472,alarm,Fire (heuristic),detections\alarm_20251113_132601_366819.jpg
2025-11-13T13:26:01.647834,alarm,Fire (heuristic),detections\alarm_20251113_132601_639466.jpg
2025-11-13T13:26:01.827415,alarm,Fire (heuristic),detections\alarm_20251113_132601_817124.jpg
2025-11-13T13:26:01.993657,alarm,Fire (heuristic),detections\alarm_20251113_132601_980544.jpg
2025-11-13T13:26:02.253292,alarm,Fire (heuristic),detections\alarm_20251113_132602_244855.jpg
2025-11-13T13:26:02.457659,alarm,Fire (heuristic),detections\alarm_20251113_132602_449473.jpg
2025-11-13T13:26:02.675042,alarm,Fire (heuristic),detections\alarm_20251113_132602_667684.jpg
2025-11-13T13:26:02.953173,alarm,Fire (heuristic),detections\alarm_20251113_132602_945107.jpg
2025-11-13T13:26:03.192601,alarm,Fire (heuristic),detections\alarm_20251113_132603_180990.jpg
2025-11-13T13:26:03.448237,alarm,Fire (heuristic),detections\alarm_20251113_132603_439043.jpg
2025-11-13T13:26:03.729705,alarm,Fire (heuristic),detections\alarm_20251113_132603_715132.jpg
2025-11-13T13:26:04.049443,alarm,Fire (heuristic),detections\alarm_20251113_132604_038813.jpg
2025-11-13T13:26:04.366751,alarm,Fire (heuristic),detections\alarm_20251113_132604_355171.jpg
2025-11-13T13:26:04.580024,alarm,Fire (heuristic),detections\alarm_20251113_132604_570573.jpg
2025-11-13T13:26:04.879179,alarm,Fire (heuristic),detections\alarm_20251113_132604_869128.jpg
2025-11-13T13:26:05.186807,alarm,Fire (heuristic),detections\alarm_20251113_132605_177780.jpg
2025-11-13T13:26:05.731448,alarm,Fire (heuristic),detections\alarm_20251113_132605_721185.jpg
2025-11-13T13:26:06.603238,alarm,Fire (heuristic),detections\alarm_20251113_132606_591850.jpg
2025-11-13T13:26:06.876995,alarm,Fire (heuristic),detections\alarm_20251113_132606_867849.jpg
2025-11-13T13:26:07.085485,alarm,Fire (heuristic),detections\alarm_20251113_132607_076833.jpg
2025-11-13T13:26:07.305165,alarm,Fire (heuristic),detections\alarm_20251113_132607_295418.jpg
2025-11-13T13:26:07.573919,alarm,Fire (heuristic),detections\alarm_20251113_132607_564252.jpg
2025-11-13T13:26:07.586758,record_end,,detections\clip_20251113_132559.mp4
2025-11-13T13:26:07.782022,alarm,Fire (heuristic),detections\alarm_20251113_132607_773057.jpg
2025-11-13T13:26:07.787540,record_start,Fire (heuristic),detections\clip_20251113_132607.mp4
2025-11-13T13:26:08.000151,alarm,Fire (heuristic),detections\alarm_20251113_132607_989725.jpg
2025-11-13T13:26:08.294673,alarm,Fire (heuristic),detections\alarm_20251113_132608_284454.jpg
2025-11-13T13:26:08.488496,alarm,Fire (heuristic),detections\alarm_20251113_132608_479307.jpg
2025-11-13T13:26:08.703213,alarm,Fire (heuristic),detections\alarm_20251113_132608_693788.jpg
2025-11-13T13:26:08.910072,alarm,Fire (heuristic),detections\alarm_20251113_132608_900330.jpg
2025-11-13T13:26:09.140435,alarm,Fire (heuristic),detections\alarm_20251113_132609_130146.jpg
2025-11-13T13:26:09.310089,alarm,Fire (heuristic),detections\alarm_20251113_132609_301063.jpg
2025-11-13T13:26:09.505434,alarm,Fire (heuristic),detections\alarm_20251113_132609_496933.jpg
2025-11-13T13:26:09.697590,alarm,Fire (heuristic),detections\alarm_20251113_132609_688078.jpg
2025-11-13T13:26:09.906249,alarm,Fire (heuristic),detections\alarm_20251113_132609_896209.jpg
2025-11-13T13:26:10.097988,alarm,Fire (heuristic),detections\alarm_20251113_132610_088329.jpg
2025-11-13T13:26:10.300387,alarm,Fire (heuristic),detections\alarm_20251113_132610_289202.jpg
2025-11-13T13:26:10.536186,alarm,Fire (heuristic),detections\alarm_20251113_132610_526198.jpg
2025-11-13T13:26:10.727615,alarm,Fire (heuristic),detections\alarm_20251113_132610_717698.jpg
2025-11-13T13:26:10.939956,alarm,Fire (heuristic),detections\alarm_20251113_132610_930309.jpg
2025-11-13T13:26:11.120594,alarm,Fire (heuristic),detections\alarm_20251113_132611_111323.jpg
2025-11-13T13:26:11.305292,alarm,Fire (heuristic),detections\alarm_20251113_132611_291185.jpg
