epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,489.268,0,93.3611,0,0,0,0,0,0,103.045,0,0.000654971,0.000654971,0.000654971
2,948.803,0,61.6066,0,0,0,0,0,0,232.953,0,0.00129547,0.00129547,0.00129547
3,1378.17,0,42.0108,0,0,0,0,0,0,35.7812,0,0.00190957,0.00190957,0.00190957
4,1814.94,0,25.5763,0,0,0,0,0,0,16.3732,0,0.0018812,0.0018812,0.0018812
5,2243.13,0,14.0086,0,0,0,0,0,0,12.8305,0,0.0018416,0.0018416,0.0018416
6,2602.16,0,6.79763,0,0,0,0,0,0,5.28668,0,0.001802,0.001802,0.001802
7,3110.07,0,3.05445,0,0,0,0,0,0,4.93231,0,0.0017624,0.0017624,0.0017624
8,3556.87,0,1.30474,0,0,0,0,0,0,0.70993,0,0.0017228,0.0017228,0.0017228
9,4034.49,0,0.54308,0,0,0,0,0,0,0.45769,0,0.0016832,0.0016832,0.0016832
10,4511.45,0,0.20883,0,0,0,0,0,0,0.12327,0,0.0016436,0.0016436,0.0016436
11,4991.91,0,0.0753,0,0,0,0,0,0,0.03252,0,0.001604,0.001604,0.001604
12,5539.52,0,0.01996,0,0,0,0,0,0,0.02008,0,0.0015644,0.0015644,0.0015644
13,6226.85,0,0.00626,0,0,0,0,0,0,0.00425,0,0.0015248,0.0015248,0.0015248
14,6585.65,0,0.00306,0,0,0,0,0,0,0.00352,0,0.0014852,0.0014852,0.0014852
15,6961.49,0,0.003,0,0,0,0,0,0,0.00352,0,0.0014456,0.0014456,0.0014456
16,7340.12,0,0.00299,0,0,0,0,0,0,0.0035,0,0.001406,0.001406,0.001406
17,7694.53,0,0.00289,0,0,0,0,0,0,0.00315,0,0.0013664,0.0013664,0.0013664
18,8051.12,0,0.00206,0,0,0,0,0,0,0.00145,0,0.0013268,0.0013268,0.0013268
19,8462.01,0,0.00063,0,0,0,0,0,0,0.00023,0,0.0012872,0.0012872,0.0012872
20,8922.15,0,7e-05,0,0,0,0,0,0,2e-05,0,0.0012476,0.0012476,0.0012476
21,9408.97,0,1e-05,0,0,0,0,0,0,1e-05,0,0.001208,0.001208,0.001208
22,9806.12,0,0,0,0,0,0,0,0,0,0,0.0011684,0.0011684,0.0011684
23,12053.3,0,0,0,0,0,0,0,0,0,0,0.0011288,0.0011288,0.0011288
24,12451.4,0,0,0,0,0,0,0,0,0,0,0.0010892,0.0010892,0.0010892
25,12827.4,0,0,0,0,0,0,0,0,1e-05,0,0.0010496,0.0010496,0.0010496
26,13255.3,0,0,0,0,0,0,0,0,0,0,0.00101,0.00101,0.00101
27,13626.3,0,0,0,0,0,0,0,0,0,0,0.0009704,0.0009704,0.0009704
28,14003.8,0,0,0,0,0,0,0,0,0,0,0.0009308,0.0009308,0.0009308
29,14498.2,0,0,0,0,0,0,0,0,0,0,0.0008912,0.0008912,0.0008912
30,14957.3,0,0,0,0,0,0,0,0,0,0,0.0008516,0.0008516,0.0008516
31,15400.3,0,0,0,0,0,0,0,0,0,0,0.000812,0.000812,0.000812
32,15900.2,0,0,0,0,0,0,0,0,0,0,0.0007724,0.0007724,0.0007724
33,16366,0,0,0,0,0,0,0,0,0,0,0.0007328,0.0007328,0.0007328
34,16703.1,0,0,0,0,0,0,0,0,0,0,0.0006932,0.0006932,0.0006932
35,17046.3,0,0,0,0,0,0,0,0,0,0,0.0006536,0.0006536,0.0006536
36,17512,0,0,0,0,0,0,0,0,0,0,0.000614,0.000614,0.000614
37,17985.6,0,0,0,0,0,0,0,0,0,0,0.0005744,0.0005744,0.0005744
38,18424.2,0,0,0,0,0,0,0,0,0,0,0.0005348,0.0005348,0.0005348
39,18858.9,0,0,0,0,0,0,0,0,0,0,0.0004952,0.0004952,0.0004952
40,19346.4,0,0,0,0,0,0,0,0,0,0,0.0004556,0.0004556,0.0004556
41,19888.8,0,0,0,0,0,0,0,0,0,0,0.000416,0.000416,0.000416
42,20452.4,0,0,0,0,0,0,0,0,0,0,0.0003764,0.0003764,0.0003764
43,21012.8,0,0,0,0,0,0,0,0,0,0,0.0003368,0.0003368,0.0003368
44,21498.8,0,0,0,0,0,0,0,0,0,0,0.0002972,0.0002972,0.0002972
