timestamp,sid,camera_name,class,conf,image_path
2025-11-14T02:14:41.833123,pLkyF9-CYzeRdYhYAAAB,,person,0.302,ultimate_detections\snapshots\det_pLkyF9-CYzeRdYhYAAAB_20251114_021441.jpg
2025-11-14T02:14:42.836821,pLkyF9-CYzeRdYhYAAAB,,person,0.324,ultimate_detections\snapshots\det_pLkyF9-CYzeRdYhYAAAB_20251114_021442.jpg
2025-11-14T02:14:43.083984,pLkyF9-CYzeRdYhYAAAB,,bear,0.514,ultimate_detections\snapshots\det_pLkyF9-CYzeRdYhYAAAB_20251114_021443.jpg
2025-11-14T02:14:43.847842,pLkyF9-CYzeRdYhYAAAB,,person,0.351,ultimate_detections\snapshots\det_pLkyF9-CYzeRdYhYAAAB_20251114_021443.jpg
2025-11-14T02:14:44.088645,pLkyF9-CYzeRdYhYAAAB,,person,0.403,ultimate_detections\snapshots\det_pLkyF9-CYzeRdYhYAAAB_20251114_021444.jpg
2025-11-14T02:14:44.338365,pLkyF9-CYzeRdYhYAAAB,,car,0.462,ultimate_detections\snapshots\det_pLkyF9-CYzeRdYhYAAAB_20251114_021444.jpg
2025-11-14T02:14:44.342949,pLkyF9-CYzeRdYhYAAAB,,car,0.457,ultimate_detections\snapshots\det_pLkyF9-CYzeRdYhYAAAB_20251114_021444.jpg
2025-11-14T02:14:45.896073,pLkyF9-CYzeRdYhYAAAB,,person,0.323,ultimate_detections\snapshots\det_pLkyF9-CYzeRdYhYAAAB_20251114_021445.jpg
2025-11-14T02:14:46.843777,pLkyF9-CYzeRdYhYAAAB,,person,0.420,ultimate_detections\snapshots\det_pLkyF9-CYzeRdYhYAAAB_20251114_021446.jpg
2025-11-14T02:14:47.586023,pLkyF9-CYzeRdYhYAAAB,,car,0.341,ultimate_detections\snapshots\det_pLkyF9-CYzeRdYhYAAAB_20251114_021447.jpg
2025-11-14T02:14:48.123751,pLkyF9-CYzeRdYhYAAAB,,car,0.303,ultimate_detections\snapshots\det_pLkyF9-CYzeRdYhYAAAB_20251114_021448.jpg
2025-11-14T02:14:48.329663,pLkyF9-CYzeRdYhYAAAB,,person,0.353,ultimate_detections\snapshots\det_pLkyF9-CYzeRdYhYAAAB_20251114_021448.jpg
2025-11-14T02:14:49.339698,pLkyF9-CYzeRdYhYAAAB,,car,0.356,ultimate_detections\snapshots\det_pLkyF9-CYzeRdYhYAAAB_20251114_021449.jpg
2025-11-14T02:14:49.834662,pLkyF9-CYzeRdYhYAAAB,,person,0.304,ultimate_detections\snapshots\det_pLkyF9-CYzeRdYhYAAAB_20251114_021449.jpg
2025-11-14T02:14:50.834499,pLkyF9-CYzeRdYhYAAAB,,bear,0.325,ultimate_detections\snapshots\det_pLkyF9-CYzeRdYhYAAAB_20251114_021450.jpg
2025-11-14T02:14:51.394661,pLkyF9-CYzeRdYhYAAAB,,person,0.476,ultimate_detections\snapshots\det_pLkyF9-CYzeRdYhYAAAB_20251114_021451.jpg
2025-11-14T02:14:51.600235,pLkyF9-CYzeRdYhYAAAB,,person,0.330,ultimate_detections\snapshots\det_pLkyF9-CYzeRdYhYAAAB_20251114_021451.jpg
2025-11-14T02:14:51.604739,pLkyF9-CYzeRdYhYAAAB,,bear,0.305,ultimate_detections\snapshots\det_pLkyF9-CYzeRdYhYAAAB_20251114_021451.jpg
2025-11-14T02:14:53.336826,pLkyF9-CYzeRdYhYAAAB,,car,0.493,ultimate_detections\snapshots\det_pLkyF9-CYzeRdYhYAAAB_20251114_021453.jpg
2025-11-14T02:14:53.340942,pLkyF9-CYzeRdYhYAAAB,,car,0.328,ultimate_detections\snapshots\det_pLkyF9-CYzeRdYhYAAAB_20251114_021453.jpg
2025-11-14T02:14:54.075499,pLkyF9-CYzeRdYhYAAAB,,bear,0.302,ultimate_detections\snapshots\det_pLkyF9-CYzeRdYhYAAAB_20251114_021454.jpg
2025-11-14T02:14:54.576024,pLkyF9-CYzeRdYhYAAAB,,car,0.376,ultimate_detections\snapshots\det_pLkyF9-CYzeRdYhYAAAB_20251114_021454.jpg
2025-11-14T02:14:54.838788,pLkyF9-CYzeRdYhYAAAB,,person,0.353,ultimate_detections\snapshots\det_pLkyF9-CYzeRdYhYAAAB_20251114_021454.jpg
2025-11-14T02:14:55.581306,pLkyF9-CYzeRdYhYAAAB,,car,0.400,ultimate_detections\snapshots\det_pLkyF9-CYzeRdYhYAAAB_20251114_021455.jpg
2025-11-14T02:14:56.334639,pLkyF9-CYzeRdYhYAAAB,,person,0.309,ultimate_detections\snapshots\det_pLkyF9-CYzeRdYhYAAAB_20251114_021456.jpg
